Learning Area,Element,Sub-element,Progression level,Progression level name / stage name,Subheading,Indicator ID,Indicator order,Indicator text (verbatim),Indicator text (no examples),Example / elaboration,Relevant – Foundation,Relevant – Year 1,Relevant – Year 2,Relevant – Year 3,Relevant – Year 4,Relevant – Year 5,Relevant – Year 6,Relevant – Year 7,Relevant – Year 8,Relevant – Year 9,Relevant – Year 10
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 3,,Phonic knowledge,LP9-RV-PKWR-Level3-04,4,identifies first phoneme in words,identifies first phoneme in words,,Yes,Yes,,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 3,,Phonic knowledge,LP9-RV-PKWR-Level3-05,5,"orally segments CVC words (e.g. ""c-a-t"", ""h-a-t"")",orally segments CVC words,"e.g. ""c-a-t"", ""h-a-t""",Yes,Yes,,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 3,,Phonic knowledge,LP9-RV-PKWR-Level3-06,6,"recognises taught graphemes when represented in various fonts, capitals and lower-case (e.g. ""Aa"", ""Rr"", ""Dd"")","recognises taught graphemes when represented in various fonts, capitals and lower-case","e.g. ""Aa"", ""Rr"", ""Dd""",Yes,Yes,,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 3,,Word recognition,LP9-RV-PKWR-Level3-07,7,"reads taught high-frequency words in a text and in the environment (e.g. ""the"", ""to"", ""I"", ""no"", ""said"")",reads taught high-frequency words in a text and in the environment,"e.g. ""the"", ""to"", ""I"", ""no"", ""said""",Yes,Yes,,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 4,,Phonic knowledge,LP9-RV-PKWR-Level4-01,1,says the most common phoneme for all single-letter graphemes,says the most common phoneme for all single-letter graphemes,,,Yes,,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 4,,Phonic knowledge,LP9-RV-PKWR-Level4-02,2,"identifies and names letters for all single-letter graphemes including those represented in various letter styles, capitals and lower-case (e.g. ""Bb"", ""Gg"")","identifies and names letters for all single-letter graphemes including those represented in various letter styles, capitals and lower-case","e.g. ""Bb"", ""Gg""",,Yes,,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 4,,Phonic knowledge,LP9-RV-PKWR-Level4-03,3,writes/selects corresponding graphemes for all common phonemes,writes/selects corresponding graphemes for all common phonemes,,,Yes,,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 4,,Phonic knowledge,LP9-RV-PKWR-Level4-04,4,"blends phonemes for all common, single-letter graphemes to read VC words (e.g. ""in"") and CVC words (e.g. ""pan"") and applies this knowledge when reading decodable texts","blends phonemes for all common, single-letter graphemes to read VC words (e.g. ""in"") and CVC words (e.g. ""pan"") and applies this knowledge when reading decodable texts",,,Yes,,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 4,,Phonic knowledge,LP9-RV-PKWR-Level4-05,5,segments and writes VC and CVC words with letters in correct order and reads them aloud,segments and writes VC and CVC words with letters in correct order and reads them aloud,,,Yes,,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 4,,Phonic knowledge,LP9-RV-PKWR-Level4-06,6,"reads single syllable words with common double consonants and applies this when reading decodable texts (e.g. 'ss' - ""fuss"", ""II"" - ""will"", ""ff"" - ""puff"")",reads single syllable words with common double consonants and applies this when reading decodable texts,"e.g. 'ss' - ""fuss"", ""II"" - ""will"", ""ff"" - ""puff""",,Yes,,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 4,,Word recognition,LP9-RV-PKWR-Level4-07,7,"reads an increasing number of taught high-frequency words in decodable texts and own writing (e.g. ""was"", ""you"", ""one"", ""said"", ""have"", ""were"")",reads an increasing number of taught high-frequency words in decodable texts and own writing,"e.g. ""was"", ""you"", ""one"", ""said"", ""have"", ""were""",,Yes,,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 5,,Phonic knowledge,LP9-RV-PKWR-Level5-01,1,"gives examples of phonemes that can be represented by more than one consonant (e.g. ""ck"", ""ph"")",gives examples of phonemes that can be represented by more than one consonant,"e.g. ""ck"", ""ph""",,Yes,,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 5,,Phonic knowledge,LP9-RV-PKWR-Level5-02,2,"blends phonemes for all common, single-letter graphemes to read consonant-consonant-vowel-consonant (CCVC) words (e.g. ""blot"") and consonant-vowel-consonant-consonant (CVCC) words (e.g. ""list"") and applies this knowledge when reading decodable texts","blends phonemes for all common, single-letter graphemes to read consonant-consonant-vowel-consonant (CCVC) words (e.g. ""blot"") and consonant-vowel-consonant-consonant (CVCC) words (e.g. ""list"") and applies this knowledge when reading decodable texts",,,Yes,,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 5,,Phonic knowledge,LP9-RV-PKWR-Level5-03,3,"reads words with split digraphs (e.g. ""cake"", ""blame"")",reads words with split digraphs,"e.g. ""cake"", ""blame""",,Yes,,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 5,,Phonic knowledge,LP9-RV-PKWR-Level5-04,4,"reads single-syllable words with taught consonant digraphs and applies this knowledge when reading decodable texts (e.g. ""sh"", ""ch"" and ""ck"" – ""ship"", ""rich"", ""lock"")",reads single-syllable words with taught consonant digraphs and applies this knowledge when reading decodable texts,"e.g. ""sh"", ""ch"" and ""ck"" – ""ship"", ""rich"", ""lock""",,Yes,,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 5,,Phonic knowledge,LP9-RV-PKWR-Level5-05,5,"reads words with taught common vowel graphemes (e.g. ""ee"", ""ea"", ""ie"", ""-e"" and including ""-y"") and applies this knowledge when reading decodable texts","reads words with taught common vowel graphemes (e.g. ""ee"", ""ea"", ""ie"", ""-e"" and including ""-y"") and applies this knowledge when reading decodable texts",,,Yes,,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 5,,Phonic knowledge,LP9-RV-PKWR-Level5-06,6,"reads one-and two-syllable words with common suffixes (e.g. ""-ed"", ""-ing"", ""-s/es"") and applies this knowledge when reading decodable texts (e.g. ""jumping"", ""boxes"")","reads one-and two-syllable words with common suffixes (e.g. ""-ed"", ""-ing"", ""-s/es"") and applies this knowledge when reading decodable texts","e.g. ""jumping"", ""boxes""",,Yes,,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 5,,Phonic knowledge,LP9-RV-PKWR-Level5-07,7,"segments and represents CCVC and CVCC words containing clusters of consonants (e.g. t-r-i-p, b-e-s-t)",segments and represents CCVC and CVCC words containing clusters of consonants,"e.g. t-r-i-p, b-e-s-t",,Yes,,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 5,,Word recognition,LP9-RV-PKWR-Level5-08,8,"reads an increasing number of taught high-frequency words in decodable texts and different contexts (e.g. own writing, shared reading)",reads an increasing number of taught high-frequency words in decodable texts and different contexts,"e.g. own writing, shared reading",,Yes,,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 6,,Phonic knowledge,LP9-RV-PKWR-Level6-01,1,"reads words with taught vowel digraphs (e.g. ""ee"", ""oo"", ""ay"", ""ai"", ""ea"", ""oa"", ""ow"") and applies this knowledge when reading decodable texts","reads words with taught vowel digraphs (e.g. ""ee"", ""oo"", ""ay"", ""ai"", ""ea"", ""oa"", ""ow"") and applies this knowledge when reading decodable texts",,,,Yes,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 6,,Phonic knowledge,LP9-RV-PKWR-Level6-02,2,"reads and writes common, one- and two-syllable words with clusters of consonants (e.g. ""plant"", ""string"", ""object"")","reads and writes common, one- and two-syllable words with clusters of consonants","e.g. ""plant"", ""string"", ""object""",,,Yes,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 6,,Phonic knowledge,LP9-RV-PKWR-Level6-03,3,"reads 2-syllable words with open or long vowel sounds when reading decodable texts (e.g. ""label"", ""project"", ""even"")",reads 2-syllable words with open or long vowel sounds when reading decodable texts,"e.g. ""label"", ""project"", ""even""",,,Yes,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 6,,Word recognition,LP9-RV-PKWR-Level6-04,4,reads most common high-frequency words (e.g. 100 or more) in continuous text,reads most common high-frequency words (e.g. 100 or more) in continuous text,,,,Yes,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 7,,Phonic knowledge,LP9-RV-PKWR-Level7-01,1,"reads CCVCC words (e.g. “trust”), CCCVC words (e.g. “scrap”), CCCVCC words (e.g. ‘strand’) and applies this knowledge when reading continuous texts","reads CCVCC words (e.g. “trust”), CCCVC words (e.g. “scrap”), CCCVCC words (e.g. ‘strand’) and applies this knowledge when reading continuous texts",,,,Yes,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 7,,Phonic knowledge,LP9-RV-PKWR-Level7-02,2,"reads words with r-controlled vowel digraphs ""ar"", ""er"", ""or"", ""ur"", ""ir"", writes words accordingly and applies this knowledge when reading continuous texts (e.g. ""ir"" - ""bird"", ""er"" - ""sister"", ""ar"" - ""card"", ""ur"" - ""hurt"", ""or"" - ""word"")","reads words with r-controlled vowel digraphs ""ar"", ""er"", ""or"", ""ur"", ""ir"", writes words accordingly and applies this knowledge when reading continuous texts","e.g. ""ir"" - ""bird"", ""er"" - ""sister"", ""ar"" - ""card"", ""ur"" - ""hurt"", ""or"" - ""word""",,,Yes,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 7,,Phonic knowledge,LP9-RV-PKWR-Level7-03,3,"applies common phonic generalisations when reading continuous texts (e.g. soft ""g"" - ""age"", hard ""g"" - ""game"")",applies common phonic generalisations when reading continuous texts,"e.g. soft ""g"" - ""age"", hard ""g"" - ""game""",,,Yes,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 7,,Phonic knowledge,LP9-RV-PKWR-Level7-04,4,"says and represents the new word when asked to delete a phoneme within an initial blend of a single-syllable word (e.g. ""spat"" - ""sat"")",says and represents the new word when asked to delete a phoneme within an initial blend of a single-syllable word,"e.g. ""spat"" - ""sat""",,,Yes,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 7,,Phonic knowledge,LP9-RV-PKWR-Level7-05,5,"reads multisyllabic words with common double graphemes and applies this when reading continuous texts (e.g. ""ss"" - ""blossom"", ""tt"" - ""letter"", ""zz"" - ""fizzy"", ""ff"" - ""offend"")",reads multisyllabic words with common double graphemes and applies this when reading continuous texts,"e.g. ""ss"" - ""blossom"", ""tt"" - ""letter"", ""zz"" - ""fizzy"", ""ff"" - ""offend""",,,Yes,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 7,,Phonic knowledge,LP9-RV-PKWR-Level7-06,6,"reads words with graphemes representing diphthongs when reading continuous texts (e.g. ""ou"" - ""ground"", ""ow"" - ""cow"", ""oi"" - ""boil"")",reads words with graphemes representing diphthongs when reading continuous texts,"e.g. ""ou"" - ""ground"", ""ow"" - ""cow"", ""oi"" - ""boil""",,,Yes,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 7,,Word recognition,LP9-RV-PKWR-Level7-07,7,reads new words containing taught grapheme-phoneme correspondences in a variety of contexts without using obvious sounding-out strategies,reads new words containing taught grapheme-phoneme correspondences in a variety of contexts without using obvious sounding-out strategies,,,,Yes,,,,,,,,
Literacy,Reading and viewing,Phonic knowledge and word recognition,Level 7,,Word recognition,LP9-RV-PKWR-Level7-08,8,reads high-frequency words within a continuous text accurately and without hesitation (see Fluency),reads high-frequency words within a continuous text accurately and without hesitation (see Fluency),,,,Yes,,,,,,,,
Literacy,Reading and viewing,Fluency,Level 1,,,LP9-RV-FLU-Level1-01,1,"reads aloud decodable or familiar texts word by word, with emphasis on one-to-one matching","reads aloud decodable or familiar texts word by word, with emphasis on one-to-one matching",,Yes,,,,,,,,,,
Literacy,Reading and viewing,Fluency,Level 1,,,LP9-RV-FLU-Level1-02,2,reads with some intonation and expression,reads with some intonation and expression,,Yes,,,,,,,,,,
Literacy,Reading and viewing,Fluency,Level 2,,,LP9-RV-FLU-Level2-01,1,reads decodable or familiar texts by phrasing 2 words at a time with some attention to expression,reads decodable or familiar texts by phrasing 2 words at a time with some attention to expression,,Yes,,,,,,,,,,
Literacy,Reading and viewing,Fluency,Level 3,,,LP9-RV-FLU-Level3-01,1,"reads aloud a decodable or simple text at a reasonable pace, grouping words into meaningful phrases (see Understanding texts)","reads aloud a decodable or simple text at a reasonable pace, grouping words into meaningful phrases (see Understanding texts)",,Yes,Yes,,,,,,,,,
Literacy,Reading and viewing,Fluency,Level 3,,,LP9-RV-FLU-Level3-02,2,"uses punctuation cues, and some intonation and expression","uses punctuation cues, and some intonation and expression",,Yes,Yes,,,,,,,,,
Literacy,Reading and viewing,Fluency,Level 3,,,LP9-RV-FLU-Level3-03,3,reads accurately at an efficient pace without overt sounding and blending,reads accurately at an efficient pace without overt sounding and blending,,Yes,Yes,,,,,,,,,
Literacy,Reading and viewing,Fluency,Level 4,,,LP9-RV-FLU-Level4-01,1,"reads aloud an elementary text at a flowing pace, pausing to attend to more complex punctuation","reads aloud an elementary text at a flowing pace, pausing to attend to more complex punctuation",,,,Yes,,,,,,,,
Literacy,Reading and viewing,Fluency,Level 4,,,LP9-RV-FLU-Level4-02,2,"uses effective intonation, stress and expression that indicate comprehension","uses effective intonation, stress and expression that indicate comprehension",,,,Yes,,,,,,,,
Literacy,Reading and viewing,Fluency,Level 4,,,LP9-RV-FLU-Level4-03,3,maintains pace and accuracy when reading with an experienced reader,maintains pace and accuracy when reading with an experienced reader,,,,Yes,,,,,,,,
Literacy,Reading and viewing,Fluency,Level 4,,,LP9-RV-FLU-Level4-04,4,reads without finger tracing,reads without finger tracing,,,,Yes,,,,,,,,
Literacy,Reading and viewing,Fluency,Level 5,,,LP9-RV-FLU-Level5-01,1,"reads aloud a range of moderately complex texts with fluency and phrasing, adjusting pace, volume, pitch and pronunciation to enhance meaning and expression","reads aloud a range of moderately complex texts with fluency and phrasing, adjusting pace, volume, pitch and pronunciation to enhance meaning and expression",,,,,Yes,,,,,,,
Literacy,Reading and viewing,Fluency,Level 5,,,LP9-RV-FLU-Level5-02,2,varies pace according to purpose and audience,varies pace according to purpose and audience,,,,,Yes,,,,,,,
Literacy,Reading and viewing,Fluency,Level 5,,,LP9-RV-FLU-Level5-03,3,reads aloud with expression that reflects the author’s purpose and meaning (see Understanding texts),reads aloud with expression that reflects the author’s purpose and meaning (see Understanding texts),,,,,Yes,,,,,,,
Literacy,Reading and viewing,Fluency,Level 6,,,LP9-RV-FLU-Level6-01,1,reads aloud a range of complex and highly complex texts which include multisyllabic words and complex sentences with fluency and appropriate expression,reads aloud a range of complex and highly complex texts which include multisyllabic words and complex sentences with fluency and appropriate expression,,,,,,Yes,,,,,,
Literacy,Reading and viewing,Fluency,Level 6,,,LP9-RV-FLU-Level6-02,2,"consistently and automatically integrates pausing, intonation, phrasing and rate","consistently and automatically integrates pausing, intonation, phrasing and rate",,,,,,Yes,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 1a,,,LP9-RV-UT-Level1a-01,1,"shows interest in familiar people, events and activities (e.g. tracks the speaker’s movements, turns head in the direction of the speaker)","shows interest in familiar people, events and activities","e.g. tracks the speaker’s movements, turns head in the direction of the speaker",Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 1b,,,LP9-RV-UT-Level1b-01,1,responds consistently to social interactions with familiar people,responds consistently to social interactions with familiar people,,Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 1b,,,LP9-RV-UT-Level1b-02,2,"uses informal responses which can include vocalising, facial expressions, gestures, moving, touching (e.g. touches a target object in response to a question or directive)","uses informal responses which can include vocalising, facial expressions, gestures, moving, touching",e.g. touches a target object in response to a question or directive,Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 1,,Comprehension,LP9-RV-UT-Level1-01,1,demonstrates interest in texts,demonstrates interest in texts,,Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 1,,Comprehension,LP9-RV-UT-Level1-02,2,recognises images in texts,recognises images in texts,,Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 1,,Comprehension,LP9-RV-UT-Level1-03,3,recognises some icons or symbols from the environment (e.g. familiar logos),recognises some icons or symbols from the environment,e.g. familiar logos,Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 1,,Vocabulary,LP9-RV-UT-Level1-04,4,"names familiar objects in texts including texts in the environment (e.g. apple, table, boy)",names familiar objects in texts including texts in the environment,"e.g. apple, table, boy",Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 1,,Vocabulary,LP9-RV-UT-Level1-05,5,names some familiar icons or symbols in the environment (e.g. school crossing sign),names some familiar icons or symbols in the environment,e.g. school crossing sign,Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 2,,Comprehension,LP9-RV-UT-Level2-01,1,answers simple literal questions about texts read by a proficient reader,answers simple literal questions about texts read by a proficient reader,,Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 2,,Comprehension,LP9-RV-UT-Level2-02,2,repeats fragments of text,repeats fragments of text,,Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 2,,Comprehension,LP9-RV-UT-Level2-03,3,invents a spoken text based on images,invents a spoken text based on images,,Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 2,,Processes,LP9-RV-UT-Level2-04,4,recognises symbols and words in texts (e.g. recognises own name),recognises symbols and words in texts,e.g. recognises own name,Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 2,,Processes,LP9-RV-UT-Level2-05,5,distinguishes between print and images,distinguishes between print and images,,Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 2,,Processes,LP9-RV-UT-Level2-06,6,shows awareness of correct orientation of text (e.g. holds the book or tablet the right way up),shows awareness of correct orientation of text,e.g. holds the book or tablet the right way up,Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 2,,Processes,LP9-RV-UT-Level2-07,7,"imitates reading behaviour, by turning pages, swiping the screen and inventing own version of the text","imitates reading behaviour, by turning pages, swiping the screen and inventing own version of the text",,Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 2,,Vocabulary,LP9-RV-UT-Level2-08,8,identifies familiar images in texts and comments by adding some detail (e.g. “the dog is wet”),identifies familiar images in texts and comments by adding some detail,e.g. “the dog is wet”,Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 3,,Comprehension,LP9-RV-UT-Level3-01,1,listens actively and responds to a range of texts read by others,listens actively and responds to a range of texts read by others,,Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 3,,Comprehension,LP9-RV-UT-Level3-02,2,"makes a simple statement about the content of a text (e.g. ""it was about the farm"")",makes a simple statement about the content of a text,"e.g. ""it was about the farm""",Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 3,,Comprehension,LP9-RV-UT-Level3-03,3,engages in group discussion about a text or shared learning experience,engages in group discussion about a text or shared learning experience,,Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 3,,Comprehension,LP9-RV-UT-Level3-04,4,talks about images and/or some printed words in a text,talks about images and/or some printed words in a text,,Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 3,,Comprehension,LP9-RV-UT-Level3-05,5,answers and poses mainly literal questions about the text,answers and poses mainly literal questions about the text,,Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 3,,Comprehension,LP9-RV-UT-Level3-06,6,infers and then describes obvious cause and effect relationships (e.g. uses information in the text to infer why a character is smiling in an image),infers and then describes obvious cause and effect relationships,e.g. uses information in the text to infer why a character is smiling in an image,Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 3,,Processes,LP9-RV-UT-Level3-07,7,follows text direction when read to by a proficient reader,follows text direction when read to by a proficient reader,,Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 3,,Processes,LP9-RV-UT-Level3-08,8,locates the front and back of a book and turns pages correctly,locates the front and back of a book and turns pages correctly,,Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 3,,Processes,LP9-RV-UT-Level3-09,9,locates the starting point for reading on a page or screen,locates the starting point for reading on a page or screen,,Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 3,,Processes,LP9-RV-UT-Level3-10,10,"uses touch or click features to navigate a text (e.g. clicks arrows to move text along, uses pause/play button to start/stop text, clicks icons to view specific aspects of screen-based texts)",uses touch or click features to navigate a text,"e.g. clicks arrows to move text along, uses pause/play button to start/stop text, clicks icons to view specific aspects of screen-based texts",Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 3,,Vocabulary,LP9-RV-UT-Level3-11,11,asks questions to find out meaning of unfamiliar words,asks questions to find out meaning of unfamiliar words,,Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 3,,Vocabulary,LP9-RV-UT-Level3-12,12,uses words in discussions that have been encountered in simple texts,uses words in discussions that have been encountered in simple texts,,Yes,,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 4,,Comprehension,LP9-RV-UT-Level4-01,1,reads and views simple texts with support from a proficient reader (see Text complexity),reads and views simple texts with support from a proficient reader (see Text complexity),,Yes,Yes,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 4,,Comprehension,LP9-RV-UT-Level4-02,2,retells a familiar story or shared learning experience,retells a familiar story or shared learning experience,,Yes,Yes,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 4,,Comprehension,LP9-RV-UT-Level4-03,3,"contributes to group discussion, demonstrating understanding of a range of texts read by proficient readers","contributes to group discussion, demonstrating understanding of a range of texts read by proficient readers",,Yes,Yes,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 4,,Comprehension,LP9-RV-UT-Level4-04,4,makes relevant comments or asks relevant questions to demonstrate understanding of a text,makes relevant comments or asks relevant questions to demonstrate understanding of a text,,Yes,Yes,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 4,,Comprehension,LP9-RV-UT-Level4-05,5,makes connections between texts and personal experiences,makes connections between texts and personal experiences,,Yes,Yes,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 4,,Processes,LP9-RV-UT-Level4-06,6,uses some phonic and contextual knowledge to decode simple texts (see Phonic knowledge and word recognition),uses some phonic and contextual knowledge to decode simple texts (see Phonic knowledge and word recognition),,Yes,Yes,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 4,,Processes,LP9-RV-UT-Level4-07,7,decodes a few words in a text using phonic knowledge (see Phonic knowledge and word recognition),decodes a few words in a text using phonic knowledge (see Phonic knowledge and word recognition),,Yes,Yes,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 4,,Processes,LP9-RV-UT-Level4-08,8,identifies taught high-frequency words in a text (see Phonic knowledge and word recognition),identifies taught high-frequency words in a text (see Phonic knowledge and word recognition),,Yes,Yes,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 4,,Processes,LP9-RV-UT-Level4-09,9,demonstrates one-to-one correspondence by pointing to words in a continuous text or in the environment (see Phonic knowledge and word recognition),demonstrates one-to-one correspondence by pointing to words in a continuous text or in the environment (see Phonic knowledge and word recognition),,Yes,Yes,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 4,,Processes,LP9-RV-UT-Level4-10,10,tracks text left to right,tracks text left to right,,Yes,Yes,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 4,,Processes,LP9-RV-UT-Level4-11,11,uses return sweep,uses return sweep,,Yes,Yes,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 4,,Processes,LP9-RV-UT-Level4-12,12,consistently reads left page before right page,consistently reads left page before right page,,Yes,Yes,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 4,,Processes,LP9-RV-UT-Level4-13,13,makes predictions (e.g. uses the cover of a book or screen image to predict the content),makes predictions,e.g. uses the cover of a book or screen image to predict the content,Yes,Yes,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 4,,Processes,LP9-RV-UT-Level4-14,14,identifies simple grammatical features (e.g. identifies verbs in a set of instructions) (see Grammar),identifies simple grammatical features (e.g. identifies verbs in a set of instructions) (see Grammar),,Yes,Yes,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 4,,Processes,LP9-RV-UT-Level4-15,15,pauses or appeals for support when meaning is disrupted,pauses or appeals for support when meaning is disrupted,,Yes,Yes,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 4,,Processes,LP9-RV-UT-Level4-16,16,recognises sentence boundary punctuation and uses it when reading aloud (see Punctuation),recognises sentence boundary punctuation and uses it when reading aloud (see Punctuation),,Yes,Yes,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 4,,Vocabulary,LP9-RV-UT-Level4-17,17,"demonstrates knowledge of common morphemic word families when reading (e.g. identifies the word ""run"" in ""running"")",demonstrates knowledge of common morphemic word families when reading,"e.g. identifies the word ""run"" in ""running""",Yes,Yes,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 4,,Vocabulary,LP9-RV-UT-Level4-18,18,recognises key content or repeated words in a simple text (see Text complexity),recognises key content or repeated words in a simple text (see Text complexity),,Yes,Yes,,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 5,,Comprehension,LP9-RV-UT-Level5-01,1,reads and views simple texts independently (see Text complexity),reads and views simple texts independently (see Text complexity),,,Yes,Yes,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 5,,Comprehension,LP9-RV-UT-Level5-02,2,locates directly stated information,locates directly stated information,,,Yes,Yes,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 5,,Comprehension,LP9-RV-UT-Level5-03,3,recounts or describes sequenced ideas or information,recounts or describes sequenced ideas or information,,,Yes,Yes,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 5,,Comprehension,LP9-RV-UT-Level5-04,4,identifies a clearly evident main idea in a simple text,identifies a clearly evident main idea in a simple text,,,Yes,Yes,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 5,,Comprehension,LP9-RV-UT-Level5-05,5,listens to texts to engage with learning area content (e.g. a text about family histories),listens to texts to engage with learning area content,e.g. a text about family histories,,Yes,Yes,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 5,,Comprehension,LP9-RV-UT-Level5-06,6,reads and views the content of texts and describes new or learnt information,reads and views the content of texts and describes new or learnt information,,,Yes,Yes,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 5,,Comprehension,LP9-RV-UT-Level5-07,7,expresses an opinion or preference for a topic or text with a supporting reason,expresses an opinion or preference for a topic or text with a supporting reason,,,Yes,Yes,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 5,,Comprehension,LP9-RV-UT-Level5-08,8,"draws obvious inferences by integrating print, visual and audio aspects of simple texts (e.g. uses images and key words to infer a character’s job)","draws obvious inferences by integrating print, visual and audio aspects of simple texts",e.g. uses images and key words to infer a character’s job,,Yes,Yes,,,,,,,,
Literacy,Reading and viewing,Understanding texts,Level 5,,Comprehension,LP9-RV-UT-Level5-09,9,identifies some differences between imaginative and informative texts (e.g. different styles of images in a fairy tale and instructions for a game),identifies some differences between imaginative and informative texts,e.g. different styles of images in a fairy tale and instructions for a game,,Yes,Yes,,,,,,,,
